Date,Open,High,Low,Close,Adj Close,Volume
1962-01-03,0.000000,1.444702,1.427952,1.436327,0.630355,77611
1962-01-04,0.000000,1.438421,1.411202,1.423765,0.624842,59701
1962-01-05,0.000000,1.432140,1.394452,1.415390,0.621167,107462
1962-01-08,0.000000,1.432140,1.390264,1.390264,0.610140,89551
1962-01-09,0.000000,1.402827,1.356764,1.356764,0.595438,83581
1962-01-10,0.000000,1.386077,1.373514,1.386077,0.608302,29850
1962-01-11,0.000000,1.386077,1.373514,1.377702,0.604627,47761
1962-01-12,0.000000,1.407015,1.377702,1.407015,0.617491,89551
1962-01-15,0.000000,1.461453,1.407015,1.461453,0.641382,179103
1962-01-16,0.000000,1.457265,1.448890,1.457265,0.639544,95521
1962-01-17,0.000000,1.453078,1.402827,1.411202,0.619329,149252
1962-01-18,0.000000,1.415390,1.390264,1.415390,0.621167,47761
1962-01-19,0.000000,1.419577,1.394452,1.398639,0.613816,35821
1962-01-22,0.000000,1.427952,1.394452,1.419577,0.623004,137312
1962-01-23,0.000000,1.419577,1.394452,1.398639,0.613816,53731
1962-01-24,0.000000,1.402827,1.373514,1.402827,0.615654,125372
1962-01-25,0.000000,1.402827,1.365139,1.365139,0.599114,107462
1962-01-26,0.000000,1.369327,1.352577,1.352577,0.593600,107462
1962-01-29,0.000000,1.356764,1.323264,1.323264,0.580736,35821
1962-01-30,0.000000,1.329545,1.316982,1.323264,0.580736,59701
1962-01-31,0.000000,1.340014,1.329545,1.331639,0.584411,71641
1962-02-01,0.000000,1.335826,1.335826,1.335826,0.586249,17910
1962-02-02,0.000000,1.348389,1.340014,1.348389,0.591762,17910
1962-02-05,0.000000,1.407015,1.344201,1.407015,0.617491,101491
1962-02-06,0.000000,1.407015,1.407015,1.407015,0.617491,41791
1962-02-07,0.000000,1.407015,1.402827,1.402827,0.615654,17910
1962-02-08,0.000000,1.402827,1.402827,1.402827,0.615654,23880
1962-02-09,0.000000,1.394452,1.348389,1.365139,0.599114,65671
1962-02-12,0.000000,1.365139,1.352577,1.365139,0.599114,17910
1962-02-13,0.000000,1.373514,1.365139,1.365139,0.599114,83581
1962-02-14,0.000000,1.394452,1.386077,1.394452,0.611978,59701
1962-02-15,0.000000,1.415390,1.394452,1.415390,0.621167,29850
1962-02-16,0.000000,1.440515,1.423765,1.434234,0.629437,155222
1962-02-19,0.000000,1.444702,1.432140,1.436327,0.630355,41791
1962-02-20,0.000000,1.440515,1.398639,1.398639,0.613816,41791
1962-02-21,0.000000,1.423765,1.411202,1.415390,0.621167,41791
1962-02-23,0.000000,1.394452,1.375608,1.375608,0.603708,53731
1962-02-26,0.000000,1.365139,1.360952,1.365139,0.599114,41791
1962-02-27,0.000000,1.365139,1.352577,1.358858,0.596357,17910
1962-02-28,0.000000,1.381889,1.360952,1.381889,0.606464,59701
1962-03-01,0.000000,1.390264,1.373514,1.381889,0.606464,41791
1962-03-02,0.000000,1.394452,1.383983,1.394452,0.611978,47761
1962-03-05,0.000000,1.390264,1.377702,1.390264,0.610140,23880
1962-03-06,0.000000,1.415390,1.398639,1.407015,0.617491,41791
1962-03-07,0.000000,1.415390,1.411202,1.411202,0.619329,17910
1962-03-08,0.000000,1.427952,1.407015,1.427952,0.626680,53731
1962-03-09,0.000000,1.436327,1.423765,1.423765,0.624842,65671
1962-03-12,0.000000,1.423765,1.402827,1.423765,0.624842,47761
1962-03-13,0.000000,1.440515,1.419577,1.436327,0.630355,113432
1962-03-14,0.000000,1.499141,1.423765,1.499141,0.657923,286564
1962-03-15,0.000000,1.499141,1.474015,1.482390,0.650571,208953
1962-03-16,0.000000,1.486578,1.457265,1.457265,0.639544,137312
1962-03-19,0.000000,1.469828,1.432140,1.440515,0.632193,101491
1962-03-20,0.000000,1.453078,1.436327,1.436327,0.630355,59701
1962-03-21,0.000000,1.423765,1.409108,1.419577,0.623004,47761
1962-03-22,0.000000,1.436327,1.407015,1.423765,0.624842,143282
1962-03-23,0.000000,1.436327,1.427952,1.436327,0.630355,11940
1962-03-26,0.000000,1.436327,1.423765,1.425859,0.625761,65671
1962-03-27,0.000000,1.432140,1.415390,1.415390,0.622997,29850
1962-03-28,0.000000,1.423765,1.402827,1.402827,0.617467,65671
1962-03-29,0.000000,1.415390,1.398639,1.398639,0.615624,41791
1962-03-30,0.000000,1.415390,1.356764,1.360952,0.599035,161192
1962-04-02,0.000000,1.386077,1.373514,1.373514,0.604564,53731
1962-04-03,0.000000,1.381889,1.340014,1.340014,0.589819,77611
1962-04-04,0.000000,1.342108,1.331639,1.331639,0.586133,11940
1962-04-05,0.000000,1.344201,1.302326,1.344201,0.591662,101491
1962-04-06,0.000000,1.340014,1.335826,1.340014,0.589819,17910
1962-04-09,0.000000,1.335826,1.331639,1.331639,0.586133,17910
1962-04-10,0.000000,1.352577,1.340014,1.340014,0.589819,47761
1962-04-11,0.000000,1.356764,1.340014,1.354670,0.596270,71641
1962-04-12,0.000000,1.331639,1.281388,1.298138,0.571387,95521
1962-04-13,0.000000,1.281388,1.256263,1.264638,0.556642,131342
1962-04-16,0.000000,1.273013,1.243700,1.256263,0.552955,53731
1962-04-17,0.000000,1.298138,1.256263,1.298138,0.571387,41791
1962-04-18,0.000000,1.340014,1.314889,1.323264,0.582446,95521
1962-04-19,0.000000,1.381889,1.340014,1.373514,0.604564,101491
1962-04-23,0.000000,1.386077,1.373514,1.386077,0.610094,53731
1962-04-24,0.000000,1.383983,1.373514,1.379796,0.607330,53731
1962-04-25,0.000000,1.381889,1.356764,1.356764,0.597192,89551
1962-04-26,0.000000,1.340014,1.306514,1.314889,0.578760,59701
1962-04-27,0.000000,1.340014,1.316982,1.331639,0.586133,101491
1962-04-30,0.000000,1.306514,1.293951,1.293951,0.569544,53731
1962-05-01,0.000000,1.298138,1.239513,1.298138,0.571387,155222
1962-05-02,0.000000,1.340014,1.319076,1.319076,0.580603,113432
1962-05-03,0.000000,1.340014,1.298138,1.340014,0.589819,47761
1962-05-04,0.000000,1.348389,1.306514,1.308607,0.575995,65671
